plot,country_unique,country_pooled,region,x,y,stem_regeneration,adv_delayed,sum_stems_juvenile,sum_stems_sapling,sum_stems_mature,stem_density,n_vertical,richness,disturbance_severity,distance_edge,tmp,prcp,tmp_z,prcp_z,spei1,spei3,spei12,drought_tmp,drought_prcp,drought_spei1,drought_spei3,drought_spei12,elevation,slope,aspect,sand_extract,clay_extract,depth_extract,av.nitro,cv_t2m,cv_tp
13_119,AT,AT,13,975874.109790377,5416393.10331207,6000,Intermediate,500,5500,0,6000,2,5,0.550204947590828,60,9.92170902039901,691.066791388816,1.82606751373199,-0.459563965294263,-0.83436699487836,-1.00248306375229,-1.26363754689967,10.089659773891,706.598109445057,-0.996364136463668,-1.19324844390524,-1.68667272267254,558.634765625,4.99553546395487,180.928763738374,41.9991493225098,20.1793384552002,31.2166976928711,51.2944526672363,0.0252624540681117,0.546121571027792
13_120,AT,AT,13,975905.242356979,5416574.2719877,3000,Intermediate,0,3000,500,3500,2,3,0.991143226623535,42,9.92170902039901,691.066791388816,1.82606751373199,-0.459563965294263,-0.83436702401338,-1.00248115597872,-1.26363214694476,10.089659773891,706.598109445057,-0.996364086786076,-1.19324734774203,-1.68667155880192,574.338989257813,5.18996443073335,76.7151636168346,42.1393089294434,22.3796215057373,66.1893692016602,53.0434379577637,0.0252981103371884,0.546892385202562
13_121,AT,AT,13,843813.31141816,5384300.34906128,2500,Intermediate,0,2500,0,2500,1,1,0.773169696331024,42,9.87145726103782,872.181321459297,1.92453950026031,-0.730350230978573,-1.01012397530541,-1.12513866841177,-1.41522308575348,9.84110134957687,892.090029970414,-1.01936630480946,-1.171017859709,-1.60716275973928,736.82177734375,8.77688170945853,122.972503087675,50.9563751220703,17.2186546325684,126.343818664551,63.1365814208984,0.0248366091518909,0.509475160299883
13_122,AT,AT,13,843650.59125382,5384261.55881479,3500,Intermediate,0,3500,500,4000,2,2,0.320215940475464,30,9.87145726103782,872.181321459297,1.92453950026031,-0.730350230978573,-1.01012397839949,-1.12513886086836,-1.41522404738746,9.84110134957687,892.090029970414,-1.01936630292896,-1.17101786483309,-1.60716077970911,729.056823730469,10.5269960212158,29.0274739503951,50.9563751220703,17.2186546325684,126.343818664551,63.1365814208984,0.0248016033428771,0.508757083607141
13_123,AT,AT,13,843595.761020363,5384137.78256387,9500,Intermediate,0,9500,0,9500,1,3,0.893617630004883,42,9.87145726103782,872.181321459297,1.92453950026031,-0.730350230978573,-1.01012398947549,-1.12513954903052,-1.41522749491465,9.84110134957687,892.090029970414,-1.01936629592529,-1.17101788391586,-1.60715340542377,706.251403808594,9.79539999695288,249.52395466498,50.9563751220703,17.2186546325684,126.343818664551,63.1365814208984,0.0248366091518909,0.509475160299883
13_124,AT,AT,13,843878.012101838,5384024.03978122,4000,Intermediate,500,3500,500,4500,3,2,0.305808275938034,30,9.87145726103782,872.181321459297,1.92453950026031,-0.730350230978573,-1.01012400229568,-1.12514034678839,-1.41523147674698,9.84110134957687,892.090029970414,-1.01936628797667,-1.17101790557109,-1.60714503626406,768.225891113281,11.3509510766832,13.3973391905694,50.9563751220703,17.2186546325684,126.343818664551,63.1365814208984,0.0248016033428771,0.508757083607141
13_125,AT,AT,13,843979.411484212,5383840.989922,6000,Advanced,1000,5000,0,6000,2,3,0.669007480144501,60,9.87145726103782,872.181321459297,1.92453950026031,-0.730350230978573,-1.01012401971424,-1.12514142869067,-1.4152368998079,9.84110134957687,892.090029970414,-1.01936627680659,-1.17101793599881,-1.60713327537795,784.955322265625,15.2469182692344,3.68018032682818,71.2502517700195,11.1198539733887,125.627243041992,60.3162422180176,0.0248366091518909,0.509475160299883
13_126,AT,AT,13,844084.166478453,5383583.11098412,3000,Intermediate,0,3000,500,3500,2,2,0.92179673910141,30,9.87145726103782,872.181321459297,1.92453950026031,-0.730350230978573,-1.0101240446708,-1.12514297937065,-1.41524466482564,9.84110134957687,892.090029970414,-1.01936626106492,-1.17101797887165,-1.60711670144138,764.652954101563,13.5970524509429,178.038572933699,42,20,70,65.7771148681641,0.0248366091518909,0.509475160299883
13_127,AT,AT,13,910868.579738921,5372504.29229731,3750,Advanced,2500,1250,0,3750,2,3,0.828933000564575,30,9.95001637341784,886.22544916869,1.95184890623262,-0.62810380891478,-0.933929692293743,-1.14076998908127,-1.43639116234157,9.97959631577191,891.655096944449,-1.00027418518553,-1.20308079247792,-1.62159144280951,526.732482910156,2.87669518238237,75.3417553760294,65.2353515625,12.3143129348755,114.290000915527,65.0525741577149,0.0252667055026726,0.49974690517602
13_128,AT,AT,13,912763.824163273,5371603.52846316,6500,Advanced,1500,5000,0,6500,2,4,0.999285519123077,42,9.78436248848217,914.425945368369,1.95099101269985,-0.562423711010471,-0.913119811827902,-1.11099562558878,-1.44313775640541,9.81558748534283,916.502399814913,-0.977003914782365,-1.19601724224733,-1.60966055373384,460.111175537109,4.18449773526254,273.994804439539,75,10,130,62.8407897949219,0.0253316470231422,0.50035233715454
13_129,AT,AT,13,912902.459907117,5371584.7634618,5500,Intermediate,0,5500,0,5500,1,3,0.999924302101135,67,9.78436248848217,914.425945368369,1.95099101269985,-0.562423711010471,-0.913119839482785,-1.11099549033237,-1.44313867382542,9.81558748534283,916.502399814913,-0.977003977067641,-1.19601721555362,-1.60965966127154,451.222106933594,12.2243207933781,274.348744999822,75,10,130,62.8407897949219,0.0253316470231422,0.50035233715454
13_130,AT,AT,13,913045.524272427,5371346.68287149,6000,Intermediate,0,6000,0,6000,1,1,0.996924638748169,60,9.78436248848217,914.425945368369,1.95099101269985,-0.562423711010471,-0.913120098604425,-1.1109942005657,-1.44314601409386,9.81558748534283,916.502399814913,-0.977004551466762,-1.19601696936485,-1.60965143051256,426.982757568359,18.411574082296,258.444773093843,75,10,130,62.8407897949219,0.0253316470231422,0.50035233715454
13_131,AT,AT,13,913538.71447635,5373756.42607424,26000,Intermediate,0,26000,1000,27000,2,5,0.991204917430878,42,9.78436248848217,914.425945368369,1.95099101269985,-0.562423711010471,-0.913117643080312,-1.11100640023329,-1.4430754253086,9.81558748534283,916.502399814913,-0.976999070161692,-1.19601931737298,-1.6097299438483,452.942962646484,25.8788444992388,121.074946966895,75.8689422607422,9.56611728668213,109.028823852539,60.0693130493164,0.0253316470231422,0.50035233715454
13_132,AT,AT,13,913380.240423288,5373553.57275916,8000,Intermediate,0,8000,0,8000,1,2,0.999836027622223,60,9.78436248848217,914.425945368369,1.95099101269985,-0.562423711010471,-0.913117840571857,-1.11100542027554,-1.44308115200408,9.81558748534283,916.502399814913,-0.976999512228683,-1.19601912811307,-1.60972361424673,545.110290527344,15.0768365288822,266.862228440795,75,10,130,61.1177177429199,0.0253316470231422,0.50035233715454
13_133,AT,AT,13,913200.041189367,5373531.86238485,3500,Intermediate,500,3000,0,3500,2,3,0.848591387271881,30,9.78436248848217,914.425945368369,1.95099101269985,-0.562423711010471,-0.913117850165901,-1.11100537117646,-1.44308134640991,9.81558748534283,916.502399814913,-0.976999534712527,-1.19601911848666,-1.60972329230692,560.689270019531,7.14854024353261,15.6443099359439,75,10,130,61.1177177429199,0.0253316470231422,0.50035233715454
13_134,AT,AT,13,954606.684089749,5434741.04752311,2500,Advanced,1500,1000,0,2500,2,4,0.985532164573669,85,9.2341383141793,739.674064564831,1.8261687267632,-0.254270605962049,-0.878718606436216,-1.04376454144662,-1.28608511465713,9.35081302908902,730.701817142097,-0.988461033468486,-1.16918511376135,-1.63089225700582,568.450805664063,9.25892289006195,292.549623397156,41.2610015869141,20.3694667816162,62.6045875549317,51.7277450561524,0.0249524043555229,0.544537786189762
13_135,AT,AT,13,954304.70164445,5434817.33997076,3000,Advanced,1500,1500,0,3000,2,4,0.999998509883881,30,9.2341383141793,739.674064564831,1.8261687267632,-0.254270605962049,-0.878718615962429,-1.04376366731965,-1.28608148401427,9.35081302908902,730.701817142097,-0.988461036695807,-1.16918654193973,-1.63089818887291,581.346008300781,4.16429120781732,108.967256023463,40.959114074707,20.5212497711182,59.2130432128906,54.0716094970703,0.0249524043555229,0.544537786189762
13_136,AT,AT,13,954047.46291004,5434554.66615942,7500,Advanced,1000,6500,0,7500,2,5,0.903702139854431,124,9.2341383141793,739.674064564831,1.8261687267632,-0.254270605962049,-0.87871859365636,-1.04376574290054,-1.28609001693313,9.35081302908902,730.701817142097,-0.988461028917524,-1.1691830998643,-1.6308838923138,594.513671875,4.52677876053753,242.274981105109,40.959114074707,20.5212497711182,59.2130432128906,54.0716094970703,0.0249524043555229,0.544537786189762
13_137,AT,AT,13,953569.39396838,5434284.56853506,0,Delayed,0,0,500,500,1,1,0.999110281467438,60,9.2341383141793,739.674064564831,1.8261687267632,-0.254270605962049,-0.878718572537928,-1.04376770020686,-1.28609808751949,9.35081302908902,730.701817142097,-0.988461021557243,-1.16917984284079,-1.63087036413125,607.025146484375,3.59886336989147,246.632815806569,41.7461471557617,20.1260108947754,67.9212417602539,53.7957878112793,0.0249172353396576,0.543770290690374
13_138,AT,AT,13,965659.571808213,5431014.65776304,2000,Intermediate,500,1500,0,2000,2,2,0.999985337257385,67,9.55628964858951,704.521654998513,1.8387543868179,-0.291528150962691,-0.858067698650292,-1.016461067134,-1.25677693171784,9.79112893909413,704.521654998513,-0.970186391441169,-1.17809727023118,-1.64223063381403,597.525329589844,6.40361993679809,225.369396533346,41.6409721374512,20.1797637939453,66.2478790283203,58.1637001037598,0.0252366185733569,0.538755536882168
13_139,AT,AT,13,965302.190413287,5430750.19541644,3000,Intermediate,0,3000,0,3000,1,2,0.999024629592896,42,9.28019984036339,724.549619339331,1.77603456140494,-0.261521620416529,-0.837719109433292,-0.975897844407955,-1.21700366378411,9.44045298031521,720.207304128484,-0.963028753884311,-1.15216058691748,-1.65686887067649,609.583862304688,3.57666602698743,320.566839451849,41.6409721374512,20.1797637939453,66.2478790283203,58.1637001037598,0.0250400444546465,0.540857283454235
13_140,AT,AT,13,965364.925721859,5430570.36016653,4500,Advanced,2000,2500,0,4500,2,2,0.835841357707977,42,9.28019984036339,724.549619339331,1.77603456140494,-0.261521620416529,-0.837719076026632,-0.97589951846412,-1.21701042470713,9.44045298031521,720.207304128484,-0.96302875345486,-1.15216192898744,-1.65685792223482,595.889099121094,2.368229389464,42.663032188727,41.6409721374512,20.1797637939453,66.2478790283203,58.1637001037598,0.0250400444546465,0.540857283454235
13_141,AT,AT,13,965127.402590184,5430287.0628201,6000,Advanced,3500,2500,0,6000,2,4,0.999894261360168,67,9.28019984036339,724.549619339331,1.77603456140494,-0.261521620416529,-0.837719028553427,-0.975901897438802,-1.21702003267163,9.44045298031521,720.207304128484,-0.963028752844313,-1.15216383712416,-1.65684235554662,613.784912109375,1.43005031809171,111.39997192411,40.7536010742188,20.6243286132813,57.0090141296387,60.1240959167481,0.0250400444546465,0.540857283454235
13_142,AT,AT,13,964808.154238649,5430203.6561688,2500,Advanced,1000,1500,0,2500,2,4,0.878125488758087,30,9.28019984036339,724.549619339331,1.77603456140494,-0.261521620416529,-0.837719018410324,-0.975902407907786,-1.21702208740146,9.44045298031521,720.207304128484,-0.963028752711429,-1.15216425240619,-1.65683896759893,584.233703613281,6.38352408465498,215.018303981794,42,20,70,67.0591430664063,0.0250400444546465,0.540857283454235
13_143,AT,AT,13,964564.008088203,5430461.23955217,0,Delayed,0,0,0,0,0,0,0.999784171581268,90,9.28019984036339,724.549619339331,1.77603456140494,-0.261521620416529,-0.837719068464918,-0.975899895851639,-1.21701195376137,9.44045298031521,720.207304128484,-0.963028753356897,-1.152162235141,-1.65685542464379,561.268005371094,3.99674752392317,269.695318181246,40.7536010742188,20.6243286132813,57.0090141296387,60.1240959167481,0.0250400444546465,0.540857283454235
